Model,dataset,Attack,Attack_type,iterations,eps,alpha,Clean_Acc,Clean_Top5,Robust_Acc,Robust_Top5,Time
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,10,0.007843137254901001,0.000392156862745,0.81484375,0.958203125,0.365625,0.7728515625,72.42714428901672
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,10,0.007843137254901001,0.007843137254901001,0.81484375,0.958203125,0.251171875,0.6318359375,72.48943614959717
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,10,0.007843137254901001,0.005882352941176,0.81484375,0.958203125,0.12890625,0.5656249999999999,72.14801526069641
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,10,0.007843137254901001,0.0011764705882350002,0.81484375,0.958203125,0.0517578125,0.48261718750000004,72.29505968093872
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,10,0.007843137254901001,0.00392156862745,0.81484375,0.958203125,0.045703125000000004,0.49609375,72.36850309371948
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,10,0.007843137254901001,0.001960784313725,0.81484375,0.958203125,0.0263671875,0.428125,72.39154362678528
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,10,0.007843137254901001,0.0027450980392150002,0.81484375,0.958203125,0.0220703125,0.4443359375,72.57080698013306
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,20,0.007843137254901001,0.007843137254901001,0.81484375,0.958203125,0.2064453125,0.6037109375,121.84890484809875
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,20,0.007843137254901001,0.005882352941176,0.81484375,0.958203125,0.08125,0.5072265625,121.25696134567261
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,20,0.007843137254901001,0.000392156862745,0.81484375,0.958203125,0.062109375,0.49726562500000004,121.94181776046753
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,20,0.007843137254901001,0.00392156862745,0.81484375,0.958203125,0.0158203125,0.38984375,121.41222596168518
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,20,0.007843137254901001,0.0027450980392150002,0.81484375,0.958203125,0.005078125,0.3291015625,121.93713903427124
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,20,0.007843137254901001,0.0011764705882350002,0.81484375,0.958203125,0.0041015625,0.2814453125,121.8780472278595
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,20,0.007843137254901001,0.001960784313725,0.81484375,0.958203125,0.0021484375,0.2873046875,121.886146068573
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,40,0.007843137254901001,0.005882352941176,0.81484375,0.958203125,0.0662109375,0.4751953125,220.56875276565552
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,40,0.007843137254901001,0.00392156862745,0.81484375,0.958203125,0.012890625000000001,0.3482421875,220.78763127326965
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,40,0.007843137254901001,0.000392156862745,0.81484375,0.958203125,0.0025390625,0.2458984375,220.61543464660645
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,40,0.007843137254901001,0.0027450980392150002,0.81484375,0.958203125,0.00234375,0.26210937500000003,221.56461024284363
